date,channel,campaign_id,spend,impressions,clicks,conversions,revenue,cust_acquisition_cost,region,device,campaign_type
2023-04-13,Organic,camp_015,31.66,1505,13,0,0.0,,East,Mobile,Consideration
2023-12-10,Organic,camp_006,39.76,1520,1,0,0.0,,South,Desktop,Awareness
2024-11-12,Facebook,camp_028,295.57,23348,1047,17,1236.52,17.39,West,Desktop,Awareness
2023-10-01,LinkedIn,camp_028,383.24,9910,39,0,0.0,,South,Mobile,Consideration
2023-02-04,LinkedIn,camp_004,844.53,26257,575,7,570.9,120.65,South,Mobile,Consideration
2024-12-02,Google,camp_016,1810.26,74954,2506,5,290.73,362.05,North,Desktop,Conversion
2023-03-06,Facebook,camp_009,937.79,52851,1943,13,1110.3,72.14,West,Desktop,Awareness
2023-02-02,Facebook,camp_023,1151.05,67052,1963,58,2462.57,19.85,South,Desktop,Conversion
2023-01-05,Email,camp_014,170.97,5488,5,0,0.0,,East,Desktop,Conversion
2024-04-29,Facebook,camp_013,947.58,23328,511,0,0.0,,East,Mobile,Awareness
2024-10-07,Google,camp_012,5088.91,44210,1167,20,2570.57,254.45,West,Desktop,Conversion
2024-12-10,Email,camp_009,171.66,6910,57,0,0.0,,South,Desktop,Awareness
2023-04-23,Facebook,camp_026,557.34,44511,1538,0,0.0,,West,Desktop,Consideration
2024-09-29,Facebook,camp_012,613.07,36985,822,10,753.24,61.31,South,Tablet,Awareness
2024-09-01,Email,camp_011,120.57,2706,11,0,0.0,,East,Desktop,Conversion
2023-05-27,Google,camp_007,1619.32,82690,2879,41,4138.36,39.5,West,Mobile,Consideration
2024-02-19,Organic,camp_003,87.28,3012,106,2,54.31,43.64,East,Mobile,Conversion
2023-07-27,Organic,camp_024,60.64,1518,19,0,0.0,,South,Mobile,Consideration
2023-12-04,Google,camp_003,1149.67,35328,924,17,1698.43,67.63,West,Tablet,Awareness
2024-11-18,Facebook,camp_019,532.94,41772,1620,4,280.33,133.24,South,Desktop,Awareness
2024-08-31,Email,camp_001,238.79,5400,75,0,0.0,,North,Desktop,Consideration
2023-02-06,LinkedIn,camp_017,510.5,36337,55,0,0.0,,South,Tablet,Conversion
2023-05-08,Google,camp_010,889.09,31340,1375,13,1418.35,68.39,East,Mobile,Conversion
2023-09-03,Google,camp_029,872.14,62815,1899,54,4541.9,16.15,South,Mobile,Conversion
2023-11-17,Facebook,camp_014,1173.87,54360,1408,11,488.09,106.72,West,Desktop,Conversion
2023-05-30,Email,camp_022,252.08,10489,111,1,51.72,252.08,North,Desktop,Conversion
2023-01-05,Google,camp_006,832.56,23282,796,3,237.64,277.52,North,Desktop,Consideration
2023-12-12,Facebook,camp_021,804.41,35826,955,1,49.51,804.41,South,Mobile,Consideration
2024-07-13,Facebook,camp_013,467.97,29857,1470,8,356.54,58.5,North,Mobile,Consideration
2023-10-12,Facebook,camp_005,770.28,47926,993,19,1188.4,40.54,East,Desktop,Conversion
2023-10-16,Google,camp_005,1284.29,26865,946,18,1563.03,71.35,East,Desktop,Conversion
2023-01-16,Facebook,camp_023,1041.9,79615,877,15,1061.06,69.46,South,Desktop,Consideration
2024-11-21,Organic,camp_012,46.62,1532,2,0,0.0,,East,Mobile,Consideration
2023-03-31,Google,camp_026,1386.52,51178,1718,22,2052.25,63.02,South,Desktop,Conversion
2024-02-24,Google,camp_029,2097.8,134047,6284,8,718.39,262.23,North,Mobile,Consideration
2023-02-06,Facebook,camp_023,464.73,19827,530,19,1083.75,24.46,North,Mobile,Awareness
2023-01-19,Google,camp_012,1115.6,85941,2466,59,4737.0,18.91,North,Mobile,Awareness
2023-01-25,Email,camp_021,243.91,6538,86,3,148.23,81.3,West,Mobile,Conversion
2023-01-09,Organic,camp_012,31.33,2171,26,0,0.0,,North,Desktop,Awareness
2024-05-10,Organic,camp_022,64.64,3588,83,0,0.0,,West,Desktop,Conversion
2023-06-16,Google,camp_026,1071.11,25040,678,12,1080.03,89.26,East,Desktop,Consideration
2023-07-10,Google,camp_025,1450.01,98784,3008,26,1852.07,55.77,West,Mobile,Consideration
2023-08-01,Instagram,camp_005,1266.18,78180,2662,110,6811.59,11.51,West,Mobile,Conversion
2023-01-12,Instagram,camp_016,295.84,11874,411,0,0.0,,West,Desktop,Awareness
2024-06-23,Facebook,camp_009,107.93,7428,249,0,0.0,,West,Tablet,Consideration
2024-08-16,Google,camp_005,1196.12,86838,1535,10,776.1,119.61,East,Mobile,Awareness
2023-05-26,Instagram,camp_017,572.51,25699,1089,4,303.22,143.13,East,Mobile,Consideration
2024-10-06,Instagram,camp_021,706.68,50159,1347,5,196.97,141.34,East,Mobile,Conversion
2024-12-17,Facebook,camp_001,5.0,349,9,0,0.0,,North,Mobile,Awareness
2024-02-05,Facebook,camp_015,617.82,38455,986,1,36.79,617.82,East,Mobile,Consideration
2023-04-08,Email,camp_015,58.25,4346,128,2,98.23,29.12,East,Desktop,Conversion
2023-05-18,LinkedIn,camp_010,98.58,7768,7,0,0.0,,North,Desktop,Consideration
2023-04-21,Facebook,camp_023,287.6,11716,408,1,72.05,287.6,West,Desktop,Awareness
2024-09-25,Facebook,camp_021,1105.65,24222,1134,32,1767.15,34.55,North,Desktop,Consideration
2023-03-19,Google,camp_027,1258.8,37032,1841,12,1039.61,104.9,North,Desktop,Consideration
2024-06-09,Email,camp_023,164.14,3644,67,0,0.0,,South,Desktop,Conversion
2024-05-22,Facebook,camp_026,397.97,8438,133,0,0.0,,South,Mobile,Awareness
2023-05-25,Google,camp_025,885.9,43209,1971,20,1763.15,44.3,West,Desktop,Consideration
2024-08-17,Google,camp_005,1194.61,47570,647,0,0.0,,South,Mobile,Consideration
2024-03-21,Google,camp_024,355.76,7504,238,3,342.16,118.59,East,Mobile,Awareness
2023-04-28,Google,camp_024,2420.79,89082,4115,55,3921.77,44.01,South,Mobile,Conversion
2023-08-13,TV,camp_012,2856.48,72090,1271,25,3332.17,114.26,East,Mobile,Conversion
2024-11-20,Google,camp_005,872.36,24713,805,23,2419.34,37.93,East,Mobile,Awareness
2024-08-03,Organic,camp_012,47.91,3655,54,1,40.73,47.91,South,Desktop,Conversion
2023-08-17,Facebook,camp_030,1052.73,43719,2218,38,3043.66,27.7,East,Desktop,Conversion
2024-06-09,Organic,camp_029,63.95,3494,3,0,0.0,,South,Mobile,Consideration
2023-04-14,Email,camp_019,97.51,6595,39,0,0.0,,South,Mobile,Consideration
2024-07-03,Organic,camp_029,81.41,2627,24,0,0.0,,North,Mobile,Awareness
2023-06-08,Google,camp_013,591.06,26324,1573,28,2787.82,21.11,West,Mobile,Consideration
2024-10-21,Facebook,camp_010,1439.78,68706,2185,68,4693.26,21.17,West,Mobile,Consideration
2024-11-13,LinkedIn,camp_004,449.52,24533,360,2,303.07,224.76,West,Mobile,Conversion
2024-12-26,LinkedIn,camp_001,685.89,21385,112,1,105.64,685.89,South,Desktop,Awareness
2024-10-22,Google,camp_021,1000.68,44900,1457,6,684.77,166.78,North,Desktop,Conversion
2023-06-28,Facebook,camp_025,5.0,193,4,0,0.0,,East,Desktop,Awareness
2023-02-18,Facebook,camp_020,1623.48,39003,1193,0,0.0,,North,Desktop,Consideration
2023-10-12,Email,camp_029,190.46,7169,88,2,86.48,95.23,South,Mobile,Consideration
2023-08-10,Email,camp_004,70.28,5189,99,1,59.24,70.28,North,Desktop,Awareness
2024-01-26,Affiliate,camp_001,255.01,15380,73,0,0.0,,North,Desktop,Awareness
2024-02-22,Organic,camp_024,54.48,2148,2,0,0.0,,South,Mobile,Conversion
2024-09-15,Facebook,camp_004,730.89,50465,887,10,565.03,73.09,North,Desktop,Conversion
2024-01-31,Organic,camp_005,42.66,3347,49,0,0.0,,South,Mobile,Consideration
2024-12-27,Organic,camp_017,53.15,2790,2,0,0.0,,South,Desktop,Awareness
2023-01-04,Facebook,camp_029,838.61,57782,2491,0,0.0,,North,Mobile,Consideration
2024-08-10,Facebook,camp_010,958.93,69458,3209,114,8197.97,8.41,South,Desktop,Conversion
2024-11-15,Organic,camp_021,67.43,2094,18,0,0.0,,West,Mobile,Consideration
2023-01-11,Google,camp_017,1093.18,53088,1854,12,1208.94,91.1,East,Desktop,Consideration
2024-07-01,Email,camp_019,133.19,5416,178,1,49.38,133.19,East,Mobile,Conversion
2023-01-25,Facebook,camp_003,230.22,8363,103,1,40.95,230.22,South,Mobile,Consideration
2023-01-17,Instagram,camp_023,691.25,47276,1706,30,2251.06,23.04,North,Desktop,Consideration
2023-03-30,Email,camp_027,213.73,4841,4,0,0.0,,South,Desktop,Consideration
2024-06-02,Google,camp_016,1837.95,129893,3792,111,5623.77,16.56,West,Tablet,Conversion
2024-09-11,Facebook,camp_002,634.87,40305,1133,0,0.0,,East,Mobile,Consideration
2024-02-01,Email,camp_016,162.8,11058,115,0,0.0,,North,Mobile,Awareness
2024-03-15,Google,camp_025,1876.49,96359,1097,2,218.81,938.24,South,Desktop,Consideration
2023-10-20,Facebook,camp_001,1296.16,42896,858,2,166.94,648.08,North,Tablet,Consideration
2023-01-11,LinkedIn,camp_002,187.91,8285,43,0,0.0,,North,Mobile,Awareness
2023-04-17,Facebook,camp_026,801.29,62617,1773,60,4415.11,13.35,North,Desktop,Conversion
2023-06-09,Google,camp_013,590.04,43483,1246,20,1523.28,29.5,West,Mobile,Awareness
2024-06-24,Organic,camp_025,67.17,1693,50,0,0.0,,South,Mobile,Conversion
2024-08-24,Email,camp_005,104.56,8311,158,3,133.7,34.85,West,Desktop,Conversion
2023-02-09,Email,camp_013,235.98,16999,241,6,294.65,39.33,North,Mobile,Conversion
2023-07-10,Affiliate,camp_028,2224.91,18446,84,2,436.01,1112.46,East,Mobile,Conversion
2024-06-07,Facebook,camp_013,629.41,12930,273,0,0.0,,South,Desktop,Consideration
2023-08-21,Instagram,camp_028,765.53,51542,1813,24,1917.39,31.9,West,Desktop,Conversion
2024-06-07,Facebook,camp_010,541.15,35442,1196,4,310.41,135.29,South,Desktop,Consideration
2024-06-21,Facebook,camp_002,5.0,356,15,0,0.0,,North,Mobile,Awareness
2024-11-17,Affiliate,camp_022,405.31,31053,31,1,47.89,405.31,East,Desktop,Conversion
2024-01-22,Google,camp_026,926.36,29663,1009,27,2389.99,34.31,West,Mobile,Conversion
2024-06-22,Instagram,camp_014,784.74,51527,1776,18,622.98,43.6,North,Mobile,Conversion
2024-07-11,Google,camp_030,1235.16,43048,651,5,297.9,247.03,South,Mobile,Consideration
2024-05-15,Google,camp_024,982.89,55043,317,4,439.72,245.72,West,Desktop,Consideration
2024-01-27,TV,camp_019,725.1,39339,387,0,0.0,,West,Desktop,Awareness
2023-08-30,Google,camp_002,719.22,38875,1056,15,936.16,47.95,North,Desktop,Consideration
2023-11-01,Instagram,camp_029,869.59,49563,726,9,713.63,96.62,East,Mobile,Consideration
2023-11-14,Organic,camp_015,103.12,6911,150,0,0.0,,East,Desktop,Consideration
2023-01-12,Facebook,camp_013,632.29,49667,977,0,0.0,,North,Mobile,Awareness
2023-11-03,Facebook,camp_006,803.3,19995,1218,0,0.0,,South,Mobile,Consideration
2023-11-28,Facebook,camp_021,1000.26,57741,2236,61,3858.96,16.4,East,Desktop,Conversion
2024-08-30,Email,camp_026,229.02,13580,195,0,0.0,,North,Desktop,Consideration
2024-06-03,Google,camp_030,336.59,17084,392,1,79.48,336.59,East,Mobile,Consideration
2024-01-16,Google,camp_024,1026.03,80199,1508,19,1356.86,54.0,East,Desktop,Consideration
2024-11-06,Instagram,camp_015,277.02,8361,75,0,0.0,,East,Desktop,Awareness
2023-10-03,Email,camp_012,234.27,9699,9,0,0.0,,North,Desktop,Consideration
2024-01-02,Organic,camp_012,43.56,1020,17,0,0.0,,East,Desktop,Awareness
2023-07-17,Facebook,camp_027,438.05,21373,986,0,0.0,,North,Desktop,Consideration
2023-10-21,Facebook,camp_030,1121.1,71721,1868,29,2188.48,38.66,North,Desktop,Conversion
2023-12-24,Organic,camp_022,75.01,3737,51,1,33.41,75.01,East,Mobile,Conversion
2023-12-11,Affiliate,camp_001,396.91,17318,39,0,0.0,,North,Desktop,Consideration
2024-07-28,Instagram,camp_009,1035.29,75276,2599,8,528.37,129.41,North,Mobile,Conversion
2024-08-16,Organic,camp_023,31.33,1184,1,0,0.0,,East,Mobile,Consideration
2023-05-23,Affiliate,camp_028,84.82,2068,8,0,0.0,,North,Desktop,Awareness
2023-01-03,Email,camp_008,240.59,16558,16,0,0.0,,West,Mobile,Conversion
2023-12-09,Organic,camp_018,63.18,2186,28,0,0.0,,West,Tablet,Awareness
2024-01-08,Google,camp_027,1465.48,56682,2558,32,2164.13,45.8,North,Mobile,Consideration
2023-12-11,Email,camp_007,181.13,12244,12,0,0.0,,East,Mobile,Conversion
2024-11-15,Email,camp_027,206.98,15120,45,0,0.0,,North,Mobile,Conversion
2024-09-28,LinkedIn,camp_024,491.18,34908,34,0,0.0,,West,Mobile,Awareness
2024-03-14,Email,camp_015,214.19,7069,157,5,218.41,42.84,North,Mobile,Conversion
2024-08-12,Email,camp_025,220.34,10259,197,4,98.28,55.08,South,Desktop,Awareness
2023-10-29,Facebook,camp_026,507.99,12580,304,0,0.0,,South,Mobile,Awareness
2024-12-08,Google,camp_028,506.22,28130,1075,0,0.0,,South,Mobile,Awareness
2023-05-10,Instagram,camp_002,895.91,42925,1329,17,1366.84,52.7,South,Mobile,Conversion
2023-10-14,Organic,camp_023,5.0,135,0,0,0.0,,West,Desktop,Consideration
2023-03-25,Email,camp_018,165.85,11536,197,2,50.6,82.92,West,Mobile,Awareness
2023-04-24,Google,camp_009,1588.84,58440,1776,16,1429.92,99.3,North,Desktop,Awareness
2023-09-01,Facebook,camp_015,790.24,33851,1207,31,1626.03,25.49,North,Desktop,Conversion
2024-02-09,Facebook,camp_027,1187.93,64753,2020,0,0.0,,South,Desktop,Conversion
2023-12-02,Organic,camp_029,55.63,1601,6,0,0.0,,West,Mobile,Consideration
2024-08-02,Facebook,camp_012,1032.25,20665,525,2,111.4,516.12,West,Desktop,Consideration
2024-05-31,Organic,camp_010,55.39,1299,5,0,0.0,,North,Desktop,Conversion
2023-09-20,Affiliate,camp_028,412.43,15827,346,8,393.39,51.55,North,Mobile,Conversion
2024-09-19,Google,camp_029,2298.57,160100,6209,78,3805.95,29.47,East,Desktop,Consideration
2024-12-31,Google,camp_006,1659.62,65405,1181,10,623.18,165.96,East,Mobile,Consideration
2024-11-02,Google,camp_003,1956.57,138253,4109,0,0.0,,North,Mobile,Consideration
2024-08-16,Google,camp_009,1336.75,103357,3314,0,0.0,,North,Desktop,Consideration
2023-01-29,Google,camp_018,1939.15,134786,765,14,1125.73,138.51,South,Desktop,Conversion
2023-06-22,Facebook,camp_012,925.78,24368,871,4,227.72,231.45,North,Desktop,Awareness
2023-08-16,Google,camp_015,699.55,21298,699,0,0.0,,East,Mobile,Awareness
2024-07-03,Facebook,camp_016,588.36,14211,301,5,421.87,117.67,West,Mobile,Conversion
2024-11-06,Google,camp_008,1715.67,111320,3938,61,3490.6,28.13,South,Mobile,Consideration
2024-02-06,Facebook,camp_025,985.42,33939,1068,2,167.79,492.71,West,Desktop,Consideration
2023-05-02,Organic,camp_023,54.46,1913,14,0,0.0,,East,Mobile,Conversion
2024-10-08,Facebook,camp_011,929.8,59097,1722,25,1582.9,37.19,West,Mobile,Conversion
2024-04-05,Google,camp_005,1481.45,39044,1562,11,871.57,134.68,North,Mobile,Consideration
2023-07-05,Facebook,camp_001,797.11,54207,1165,26,1965.23,30.66,West,Mobile,Conversion
2023-03-07,Google,camp_013,287.76,18893,292,0,0.0,,North,Mobile,Awareness
2023-07-30,Instagram,camp_004,701.92,30527,1200,44,1459.01,15.95,East,Desktop,Conversion
2023-07-07,Organic,camp_020,29.98,1755,19,0,0.0,,North,Mobile,Consideration
2024-06-19,Affiliate,camp_018,225.82,5309,52,1,61.85,225.82,East,Desktop,Conversion
2024-12-04,Email,camp_013,177.04,6046,25,0,0.0,,West,Desktop,Conversion
2023-04-28,Email,camp_017,166.41,11713,11,0,0.0,,South,Mobile,Conversion
2024-07-26,Instagram,camp_003,75.03,4140,141,0,0.0,,North,Mobile,Consideration
2024-06-30,Google,camp_019,771.79,37800,1659,7,556.17,110.26,North,Mobile,Awareness
2023-07-01,Facebook,camp_012,1431.12,69156,1414,14,1099.07,102.22,West,Desktop,Conversion
2024-02-04,Organic,camp_010,29.48,700,6,0,0.0,,North,Mobile,Awareness
2024-11-02,Affiliate,camp_020,538.09,12448,12,0,0.0,,West,Mobile,Conversion
2023-03-23,Facebook,camp_023,898.26,70101,2010,0,0.0,,South,Desktop,Consideration
2023-10-16,Email,camp_029,277.76,6682,92,3,80.83,92.59,North,Mobile,Conversion
2024-07-30,Google,camp_005,1647.67,61681,1689,3,220.89,549.22,South,Mobile,Awareness
